Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-16 17:18:48",1,1,"Bryan Tran",0552a29e-c13d-4450-a89b-40d5385d8823,"Live Fire",Oddball,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,27.62,3092,1573,315,87,228,3.25,10.33,13,3,1,7,0,0,0,0,4,4,0,0,7,0,0,7,6,1695,0,4,371
"2021-11-16 19:52:40",1,1,"Bryan Tran",762875b1-9ca0-43b3-8692-ca7d33a06581,Deadlock,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,28.57,2653,2082,266,76,190,1.00,0.66,7,2,0,1,0,0,0,0,7,2,0,0,4,0,0,11,9,800,0,1,500
"2021-11-16 20:05:48",1,1,"Bryan Tran",b98a1116-949d-4fce-a05b-1d2bf5aeaa56,"Live Fire",Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,37.42,1353,331,155,58,97,5.00,5.66,5,1,0,2,1,0,0,0,0,2,0,0,5,0,0,4,2,650,0,3,174
"2021-11-16 20:11:27",1,1,"Bryan Tran",f015ab82-1c3e-469e-a8a2-89a430af98df,Streets,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,43.04,5160,2319,381,164,217,7.33,20.66,22,2,2,9,1,0,0,0,3,5,0,0,11,0,0,11,5,2510,0,14,444
"2021-11-16 20:23:40",1,1,"Bryan Tran",71fea4e3-3442-4f72-a461-ec39dd8e95e6,Recharge,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,47.4,3587,1188,327,155,172,14.00,16.66,14,1,0,7,0,0,0,0,0,8,0,0,10,0,0,9,4,1800,0,7,333
"2021-11-16 20:30:51",1,1,"Bryan Tran",98c30125-87e9-4e0d-b69b-fd04dbcde884,Streets,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,39.82,5318,1300,437,174,263,29.00,31.00,29,3,3,10,0,0,0,0,1,9,0,0,16,0,0,16,4,3460,0,14,500
"2021-11-16 20:42:33",1,1,"Bryan Tran",523781a6-08ca-4b1b-a17d-d6ef7601dd5b,Recharge,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,48.84,855,609,43,21,22,4.00,3.33,4,2,0,2,0,0,0,0,1,1,0,0,3,0,0,6,2,500,0,2,164
"2021-11-16 20:48:04",1,1,"Bryan Tran",53625042-bb40-4d99-999f-2d9c56b7da6c,Streets,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,34.44,668,482,90,31,59,0.50,0.33,1,0,1,0,0,0,0,0,2,4,0,0,1,0,0,5,2,300,0,0,344
"2021-11-17 00:36:34",1,1,"Bryan Tran",dea1b1d4-cf22-491b-8328-b7a5a45dfe69,Aquarius,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,49.35,1145,147,77,38,39,4.00,4.66,4,1,0,3,0,0,0,0,0,2,0,0,4,0,0,4,2,500,0,2,139
"2021-11-17 00:54:03",1,1,"Bryan Tran",cd33e908-c47d-4715-bd85-61605c121bb3,"Live Fire",Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,4,0,1,1,,Win,42.64,8453,3357,645,275,370,9.25,36.33,37,7,1,19,0,0,0,0,4,10,0,0,19,0,0,37,9,4235,0,16,1078
"2021-11-17 01:14:00",1,1,"Bryan Tran",24d88af6-ce1b-463c-9bbc-498e9e482778,Behemoth,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,39.82,3952,1435,334,133,201,11.00,20.00,22,1,0,9,6,0,0,0,2,0,0,0,11,0,0,22,7,2350,0,10,757
"2021-11-17 16:56:31",1,1,"Bryan Tran",d4ec08a0-626b-498b-86be-89bec489b490,Bazaar,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,42.98,1508,797,121,52,69,2.50,4.33,5,0,1,3,0,0,0,0,2,4,0,0,4,0,0,8,3,1050,0,2,276
"2021-11-17 17:19:09",1,1,"Bryan Tran",00d582a2-9466-4514-80f9-a14d746b2228,Fragmentation,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,12,1,1,0,,Loss,36.43,1004,2252,140,51,89,0.38,-4.66,3,1,0,0,1,0,0,0,8,1,0,0,1,1,0,17,10,500,0,0,575
"2021-11-19 17:52:47",1,1,"Bryan Tran",88a1d73a-288d-46f0-8e1a-441c19add0a7,Behemoth,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,1,,Win,45.03,2319,1053,151,68,83,3.33,7.66,10,1,1,5,2,0,0,0,3,2,0,0,4,0,0,7,3,1175,0,4,259
"2021-11-19 19:13:59",1,1,"Bryan Tran",ac976ba8-54a9-4c14-b00f-cda0d1e5c927,"Live Fire",Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,3,0,1,1,,Win,46.23,4047,1316,318,147,171,6.33,18.33,19,1,3,5,1,0,0,0,3,7,0,0,8,0,0,19,4,2275,0,9,547
"2021-11-19 19:25:00",1,1,"Bryan Tran",991754e0-648f-4481-8ff0-01650e921574,Aquarius,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,44.68,1146,349,47,21,26,3.00,4.66,3,0,0,3,0,0,0,0,0,5,0,0,3,0,0,4,2,875,0,1,155
"2021-11-19 19:31:57",1,1,"Bryan Tran",c7dee77e-6e5f-4c13-97e5-9b5feee49b6c,Bazaar,CTF,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,0,75,296,0,0,0,1.00,0.00,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,425,0,1,170
"2021-11-19 19:36:53",1,1,"Bryan Tran",6021fba4-a55e-4704-810a-76cc923fabc7,Behemoth,Slayer,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,45.86,4209,1283,290,133,157,10.00,19.00,20,1,2,10,0,0,0,0,2,3,0,0,14,0,0,13,4,2100,0,14,438
"2021-11-19 19:47:25",1,1,"Bryan Tran",dd31ea46-ed9a-4dfb-9df6-0431eff364e2,"Live Fire",Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,52.42,6173,2666,454,238,216,4.83,24.66,29,4,0,10,0,0,0,0,6,5,0,0,18,0,0,25,6,3360,0,16,778
"2021-11-19 20:03:59",1,1,"Bryan Tran",71e5534d-80bb-4ced-913a-d608d4eada29,Recharge,Slayer,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,30.59,2029,885,85,26,59,6.00,11.00,12,2,2,1,4,0,0,0,2,3,0,0,4,0,0,10,4,1350,0,4,321
"2021-11-19 20:11:49",1,1,"Bryan Tran",12d064eb-7d88-4615-be00-a5f6ca1b42b3,Recharge,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,45.28,1063,394,53,24,29,3.00,3.66,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,2,500,0,3,173
"2021-11-20 15:30:23",1,1,"Bryan Tran",c31447ef-3fcc-4707-b43c-b6299936c9fb,Streets,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,44.57,1706,871,184,82,102,4.50,8.00,9,0,0,5,0,0,0,0,2,3,0,0,8,0,0,7,2,1050,0,7,213
"2021-11-20 15:36:02",1,1,"Bryan Tran",84dc3a97-7521-41ff-aade-408f1624b549,Recharge,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,43.86,4082,1399,285,125,160,19.00,19.00,19,1,3,8,2,0,0,0,1,3,0,0,17,0,0,13,3,2050,0,10,374
"2021-11-20 15:44:12",1,1,"Bryan Tran",e689c37f-3853-47d4-92f1-d952af8395d6,Streets,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,44.17,3692,1094,283,125,158,19.00,19.00,19,3,2,9,0,0,0,0,1,3,0,0,11,0,0,12,3,2225,0,9,361
"2021-11-20 21:19:05",1,1,"Bryan Tran",0e6e2240-fb4b-415d-9dd5-717fb34adb5d,Deadlock,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Win,16.11,1413,3036,596,96,500,0.50,-5.33,6,0,1,2,0,0,0,0,12,2,0,0,2,0,0,10,8,700,0,1,584
"2021-11-20 21:30:30",1,1,"Bryan Tran",7069c152-1937-417a-98ff-b1b557fc8c4d,Highpower,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Draw,28.53,3314,4772,638,182,456,0.50,-5.33,7,1,1,1,0,0,1,0,14,5,0,1,2,3,0,19,15,850,0,3,1121
"2021-11-20 21:51:14",1,1,"Bryan Tran",ffaa1dad-57a5-464c-856c-010d76f978c0,Deadlock,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,34.12,3843,3810,425,145,280,0.75,-2.00,9,0,0,3,1,0,0,0,12,3,0,0,3,2,0,15,12,1125,0,1,857
"2021-11-20 22:08:07",1,1,"Bryan Tran",2e5027f4-bba8-43bd-a061-201d81b50f19,Fragmentation,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,38.28,1089,1121,128,49,79,0.50,-0.66,2,1,0,1,0,0,0,0,4,4,0,0,2,0,0,11,6,650,0,0,363
"2021-11-20 22:18:05",1,1,"Bryan Tran",e3a297bd-f424-4a0a-99db-c1da0fe8337a,Fragmentation,"Total Control","Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,33.44,1904,4163,314,105,209,0.20,-10.33,3,0,0,0,0,0,0,0,15,5,0,0,1,1,0,13,13,700,0,1,748
"2021-11-23 17:11:28",1,1,"Bryan Tran",c6bdcbd2-dfb4-4ab7-be06-4214cb04605a,Recharge,Slayer,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,38.67,3778,1249,362,140,222,12.00,13.66,12,0,0,10,0,0,0,0,1,8,0,0,9,0,0,11,4,1600,0,6,348
"2021-11-23 17:18:41",1,1,"Bryan Tran",51d40de5-ebe2-460b-887e-b70d291c1fc9,Recharge,Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,53.95,2010,282,152,82,70,13.00,14.00,13,1,0,5,0,0,0,0,0,3,0,0,13,0,0,6,2,1550,0,5,172
"2021-11-23 17:23:28",1,1,"Bryan Tran",034f8e3b-b6f5-43b0-971d-1976473ff6eb,Aquarius,Slayer,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,44.95,1612,840,109,49,60,6.00,6.66,6,1,1,2,0,0,0,0,1,5,0,0,3,0,0,10,3,850,0,1,299
"2021-11-23 17:31:10",1,1,"Bryan Tran",0dacbc95-3875-46a2-b0cb-912da94da2b4,Streets,Oddball,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,28.83,1837,987,392,113,279,1.50,4.33,6,1,0,2,0,0,0,0,4,7,0,0,4,0,0,10,3,950,0,2,282
"2021-11-23 18:22:09",1,1,"Bryan Tran",75b3c146-dee2-4997-9c6e-b7c3a94f2443,Behemoth,Slayer,"Fracture: Tenrai - Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,22.94,2443,3090,109,25,84,0.45,-5.66,5,0,0,0,5,0,0,0,11,1,0,0,1,1,0,12,13,620,0,2,484
"2021-11-23 18:32:43",1,1,"Bryan Tran",0411523e-e5a5-4f8d-88ee-fa0a9f839f98,Behemoth,"CTF 5 Captures","Ranked Arena",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,17.69,680,3451,277,49,228,0.13,-12.66,2,0,0,2,0,0,0,0,15,1,0,0,1,0,0,10,12,250,0,1,457
