Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2022-04-29 02:12:33",1,2,GrrdMlmr,a8a93373-af02-4e1a-8af5-a63cfdd9479c,Streets,Slayer,"Team Slayer",CrossPlay,Open,0,0,Cobra,0,1107.000,6470,50,45.98,Eagle,0,1300.509,6180,48,54.02,3,1,1,0,,Win,51.59,4014,3877,409,211,198,0.67,-2.67,10,2,2,0,0,0,0,2,15,7,0,0,,0,0,12,11,1370,0,1,485
"2022-05-07 04:47:38",2,1,GrrdMlmr,6696f375-cd7e-49df-b7cf-1395c6732b26,Breaker,"Last Spartan Standing","Last Spartan Standing",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,800.168,Loss,45.29,2550,2356,170,77,93,1.50,3.33,9,3,0,3,0,0,0,0,6,1,0,0,,0,0,14,11,1950,0,4,545
"2022-06-30 03:05:45",2,1,GrrdMlmr,a3269a4f-ade2-4a44-a516-aeb8ef1f297a,Streets,Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,52,2601,3377,175,91,84,0.57,-5.33,8,2,2,4,0,0,0,1,14,2,0,0,2,0,0,9,10,910,0,2,396
"2022-06-30 03:19:19",2,1,GrrdMlmr,003838c4-1450-4e56-aa41-d1aec5d909e9,Streets,"Slayer Manglers","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,55,1506,1107,40,22,18,1.70,7.66,17,4,0,9,0,0,0,0,10,2,0,0,6,0,0,17,11,1800,0,7,447
"2022-06-30 03:28:12",2,1,GrrdMlmr,9d4afeb0-a6fe-4f0d-aca6-9b0d30c0bd8d,Catalyst,Slayer,"Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,37.14,468,1180,35,13,22,0.38,-7.66,5,0,0,5,0,0,0,0,13,1,0,0,2,0,0,9,11,550,0,2,307
"2022-06-30 03:34:29",2,1,GrrdMlmr,f4924dcb-9a31-4563-a68b-6b4e304de417,Streets,"Slayer Stalker Rifle","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,43.33,851,1382,30,13,17,0.53,-6.66,8,2,0,5,0,0,0,0,15,1,0,0,2,0,0,11,12,850,0,4,401
"2022-06-30 03:43:12",2,1,GrrdMlmr,e1971c80-36c1-4a54-9cfe-fb4986017e37,"Live Fire","Slayer Stalker Rifle","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,34.78,860,1567,46,16,30,0.44,-9.00,7,1,0,5,0,0,0,0,16,0,0,1,3,0,0,10,12,600,0,6,370
"2022-06-30 03:53:51",2,1,GrrdMlmr,0973074c-a8bf-4010-ab39-6b2d35fbdaeb,Streets,"Slayer Commando","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,35.15,1920,1372,165,58,107,1.43,6.00,20,3,0,14,0,0,0,0,14,0,0,0,9,0,0,11,12,2000,0,7,421
"2022-06-30 04:02:16",2,1,GrrdMlmr,4f356edd-544b-4ca6-9163-21115320ed90,"Live Fire","Slayer Commando","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,34.53,1542,1266,139,48,91,1.15,2.33,15,2,0,11,0,0,0,0,13,1,0,0,3,0,0,10,12,1550,0,3,373
"2022-06-30 04:11:19",2,1,GrrdMlmr,3cae8fed-c19a-443b-9f3a-bcb42bc6e0d5,"Live Fire",Slayer,"Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,6,1,1,0,,Loss,41.18,1149,1241,68,28,40,1.00,0.00,13,0,0,13,0,0,0,0,13,0,0,0,4,0,0,9,11,1300,0,4,352
"2022-06-30 04:18:17",2,1,GrrdMlmr,d54738e3-a39d-4c94-a546-8737afca9bd6,Bazaar,"Slayer Commando","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,23.44,928,1086,128,30,98,0.73,-3.00,8,2,0,5,0,0,0,0,11,0,0,0,3,0,0,13,14,800,0,1,452
"2022-06-30 04:28:29",2,1,GrrdMlmr,5a0eaec8-489f-4946-9ea0-30c00d451ade,Streets,Slayer,"Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,18.18,270,447,11,2,9,0.60,-2.00,3,1,0,2,0,0,0,0,5,0,0,0,2,0,0,3,4,300,0,2,387
"2022-06-30 04:31:31",2,1,GrrdMlmr,2d834a15-7c40-439f-9988-49ff1c3400e4,Catalyst,Slayer,"Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,8,1,1,0,,Loss,28.57,541,869,63,18,45,0.56,-3.33,5,0,0,5,0,0,0,0,9,2,0,0,3,0,0,10,12,600,0,2,392
"2022-06-30 04:40:06",2,1,GrrdMlmr,399568a6-d5c5-49a4-90b6-fb637de427d9,Aquarius,"Slayer Stalker Rifle","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,12.5,33,391,8,1,7,0.00,-3.66,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,3,50,0,0,465
"2022-06-30 04:42:31",2,1,GrrdMlmr,a31a71c6-a474-47f2-bc71-9a82f29abe90,Recharge,"Slayer Commando","Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,23.61,694,1118,72,17,55,0.64,-4.00,7,3,0,3,0,0,0,0,11,0,0,0,4,0,0,10,12,700,0,1,394
"2022-06-30 04:53:28",2,1,GrrdMlmr,b46f8844-2340-46a9-adb9-72d3462ecf4e,"Launch Site",Slayer,"Tactical Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,18.45,1278,879,103,19,84,1.56,5.00,14,2,0,10,0,0,0,0,9,0,0,0,4,0,0,10,8,1400,0,7,359
"2022-06-30 05:03:30",2,1,GrrdMlmr,2d56293e-015d-4a3a-abbd-a3effec0709d,"Launch Site","Slayer BR","Team Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,9,0,0,1,,Left,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,754
"2022-06-30 05:06:59",2,1,GrrdMlmr,f8f58b86-7f84-4e2e-9cea-5702dfcbedca,Streets,Slayer,"Team Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,51.43,675,815,35,18,17,0.00,-2.66,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,3,50,0,0,443
"2022-06-30 05:11:38",2,1,GrrdMlmr,20d37aca-3a4f-4aff-8df3-c39267b3e4e0,"Live Fire",Slayer,"Team Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,50.75,4182,3683,268,136,132,1.55,8.33,17,4,1,9,0,0,0,3,11,7,0,0,8,0,0,10,10,2080,0,11,419
"2022-06-30 05:20:09",2,1,GrrdMlmr,a3ca0eb2-b597-4467-a0d7-a7a3edce0f7b,Recharge,Slayer,"Team Slayer",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,47.88,3540,2801,236,113,123,1.71,6.00,12,1,0,5,3,0,0,0,7,3,0,0,4,0,0,12,11,1350,0,5,502
"2022-06-30 05:32:42",2,1,GrrdMlmr,922ecadf-054b-4b1f-98b2-f1835c17e5d6,Catalyst,Slayer,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,38.79,3047,3582,281,109,172,0.67,-1.66,8,1,0,6,1,0,0,0,12,7,0,0,3,0,0,14,12,1150,0,2,556
"2022-06-30 05:43:12",2,1,GrrdMlmr,e53322f2-4750-4ea3-bf0e-b62dbfab2d03,Recharge,"Land Grab","Land Grab",CrossPlay,Open,0,0,,,,,,,,,,,,,8,0,1,0,,Loss,53.85,2890,2550,325,175,150,1.11,2.33,10,2,1,2,0,0,0,0,9,4,0,0,2,0,0,8,9,1200,0,3,356
"2022-06-30 05:52:07",2,1,GrrdMlmr,9646380f-5c58-438b-86f9-810f7c1c9bcb,Bazaar,"Land Grab","Land Grab",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,43.88,1338,1622,139,61,78,1.25,2.00,5,0,0,1,0,0,0,0,4,3,0,0,3,0,0,7,7,1150,0,2,312
